question,answer
谁的家人受到邪恶组织的杀害？,男主角陈英杰（相当于原版的风见志郎）
1980年代，台湾年代影视趁著《闪电五骑士》重映之势曾做过什么？,曾发行过家庭用贩售录影带（但原本约16：10比例的银幕比例变成4：3，因此左右两侧的画面被裁去不少）
墨西哥蝴蝶鱼又叫什么？,阿迈喀鳉
墨西哥蝴蝶鱼是哪个科目中的一种生物？,辐鳍鱼纲鲤齿目幸鳉科
墨西哥蝴蝶鱼以往分布在哪里？,墨西哥阿美加河
什么样的环境适合墨西哥蝴蝶鱼生活？,清洁及充氧的环境，水温介乎20至25℃，pH值中性，硬度在5至10之间。牠们不能忍受低pH值及过软的水，且不适合与雨林物种一同饲养
墨西哥蝴蝶鱼有可能在哪里再次生存?,美国内华达州东南部再次在野外生存
葡属几内亚是那段期间的名称？,1446年至1974年9月10日
哪一年葡国中央发表了主权宣言？,1446年
1450年探险家Nuno Tristão沿哪里航行？,西非海岸
十七世纪以后哪些欧洲列强来到此处？,法国、英国及瑞典等欧洲列强
何年葡萄牙修正相关法案，把此处改为海外领土？,1951年
强烈台风是什么中的一种？,强烈台风（）是中华民国交通部中央气象局台风分级的一种
强烈台风的下限是什么？,中心持续风速达每秒51公尺（时速185公里）或以上
中央气象局在英文版本台风发布上却未有使用而直接采用了什么？,世界气象组织建议的英文分级名称
从哪一年开始中央气象局改用10分钟平均风速作为测量热带气旋强度的标准？,1991年以前
强烈台风是什么的最强等级？,该机构目前热带气旋分级制度中最强等级
1992–93年欧洲冠军联赛是第几届欧洲冠军联赛？,第 1 届
本届赛事是第二届以怎样的形式进行的？,小组赛形式
苏联和南斯拉夫先后解体后导致了什么？,这两个「前国家」有大量球队（联赛冠军）涌进本届赛事
小组球赛有几对几组？,小组赛球队合共八队，分成两组
本届赛事谁首次夺冠？,马赛
穆罕默德·纳希德是谁？,马尔代夫共和国前任总统
纳希德1989年毕业于哪所大学？,英国利物浦约翰摩尔斯大学
何年纳希德获得英国政治避难权？,2004年
穆罕默德·纳希德为何又一次下狱？,他的到来使得马尔代夫民主党人气大增，因此在2005年，他又再一次被下狱，被认定为恐怖分子
但辞职之后不久，纳希德突然公开宣称了什么？,“辞职是被人用枪顶着头的强迫辞职”
《Close to ～祈愿之丘～》是一款怎样的游戏？,恋爱冒险游戏
繁体中文版主要由谁代理？,英特卫多媒体
繁体中文版以哪一个平台发售？,Microsoft Windows为平台
天主教桑斯总教区是哪里的一个总教区？,法国中部
天主教桑斯总教区相当于什么？,勃艮第大区的约讷省
天主教桑斯总教区成立于什么时候?,第1世纪
哪一年巴黎教区升格为总教区？  ,1622年
哪些教区划归为巴黎教省？,沙特尔教区、奥尔良教区和莫城教区划归巴黎教省
天主教康布雷总教区是哪里的一个总教区？,法国北部
天主教康布雷总教区范围相当于什么？,北部省的Avesnes-sur-Helpe、康布雷、杜埃、瓦伦谢讷专区
1559年西班牙国王分出什么以抵抗宗教改革？,梅赫伦总教区和另外11个教区
现任总主教是谁？,François Charles Garnier
1841年,康布雷恢复总教区
西贡户外康乐中心是哪里的度假营？,香港西贡
西贡户外康乐中心占地多大？,6.45公顷
2006年，康乐及文化事务署管理的四个度假村分别是哪几个？,麦理浩夫人度假村、西贡户外康乐中心、曹公潭户外康乐中心和鲤鱼门公园及度假村
西贡户外康乐中心楼的结构是啥样的？,西贡户外康乐中心楼高三层，有合共31个单位，每个单位有8张睡床，可供最多248人同时居住
天主教阿维尼翁总教区是哪里的总教区？,法国南部
天主教阿维尼翁总教区范围相当于什么？,普罗旺斯-阿尔卑斯-蓝色海岸大区的沃克吕兹省
阿维尼翁教区成立于什么时候？,4世纪
1822年恢复了什么？,年恢复阿维尼翁总教区
2002年12月16号发生什么？,阿维尼翁总教区的教省解散，并被降格为马赛总教区的教省附属教区，原先的附属教区则分到其他教省
胡马雍陵建于何年？,1570年
胡马雍陵在哪里？,印度首都新德里的东南郊亚穆纳河畔
胡马雍陵是哪两种风格的典型？,伊斯兰教与印度教建筑风格
陵墓中种有什么？,棕榈、丝柏等植物
胡马雍陵中的另一特色是什么？,其拱门及窗户上皆雕有极为细密的格纹和几何图形
王志刚是哪里人？,河北安新县人
王志刚学生时期在哪里生活？,台北县淡水镇(今新北市淡水区)生活，直到考上台大全家才搬进台北市区
王志刚学成归国后曾担任了哪些职务？,于国立台湾大学、国立政治大学执教，并曾经担任台大国贸-{系系}-主任
王志刚当老师时学生有谁？,郭台铭、严凯泰等知名企业家
王志刚毕业于哪所大学的哪个专业？,国立台湾大学农业经济系
罗彻斯特理工学院是哪里的大学？,美国纽约州罗彻斯特
罗彻斯特理工学院何年建校？,1829年
罗彻斯特理工学院在美国全国大学中的排名如何？,第107位
罗彻斯特理工学院是本科工程学科排名是多少？,全国58名
罗彻斯特理工学院什么时候改名的？,1944年
《雪山飞狐》是哪个公司的？,香港电视广播有限公司
《雪山飞狐》是一部怎样的古装武侠剧集？,香港电视广播有限公司根据金庸所著的武侠小说《雪山飞狐》及《飞狐外传》合而为一改编而拍摄制作的古装武侠剧集
《雪山飞狐》一部有多少集?,40集
《雪山飞狐》首播是什么时段？,1985年10月14日至12月6日期间
《雪山飞狐》的监制人是谁吗？,王天林
云南英安航空公司的前身是什么？,云南英安通用航空公司
"""Creative声卡是什么？","""Creative声卡，请参见x-fi""XFI是一个10 吉比特每秒的芯片间电气接口规范，是作为XFP多源协议的一部分定义的"
"""Creative声卡是由哪个小组开发的？",XFP MSA小组
XFI的主要应用是什么？,"10 Gigabit Ethernet，10 吉比特每秒的光纤通道，SONET OC-192, SDH STM-64, 10 吉比特每秒的OTN OTU-2，以及并行光纤链接"
XFI有时候也被读成什么？,"""X"" ""F"" ""I""或""ziffie""."
哪一年多数10 G以太网产品使用XAUI接口，采用8B/10B encoding有4条运行于3.125Gbit/s的通道？,2006年
云端储存是怎样的一种模式？,一种网路线上储存（）的模式，即把资料存放在通常由第三方代管的多台虚拟伺服器，而非专属的伺服器上
云端储存代管公司运营什么？,代管（hosting）公司营运大型的资料中心
资料中心营运商根据客户的需求在后端准备了什么？,资料中心营运商根据客户的需求，在后端准备储存虚拟化的资源
云端储存闸道是怎样将云端储存的 SOAP 或 REST 应用程式介面 (API) 转换成基于区块 (block-based) 的储存协定的？,云端储存闸道是透过以网路设备或伺服器，将云端储存的 SOAP 或 REST 应用程式介面 (API) 转换成基于区块 (block-based) 的储存协定
《科学战队炸药人》是日本东映公司哪一年制作的作品？,1983年
《科学战队炸药人》在日本播放的时间是什么？,1983年2月5日-1984年1月28日
《科学战队炸药人》一共多少级？,全51集
第九回合后的播放时间缩短至多少？,25分钟
谁集合了五名智慧与体力都相当优秀的年轻科学家到自己所营运的发明中心来，也正式宣布科学战队的成军？,科学家·梦野久太郎
乌马托鳞片属是一类怎样的植物？,已灭绝的银杏类植物
乌马托鳞片属属于什么科？,乌马托鳞片科（Umaltolepidiaceae）
乌马托鳞片属生存于什么时期？,中侏罗世到早白垩世
乌马托鳞片属的营养叶有什么特征？,乌马托鳞片属营养叶的叶柄不明显，叶形呈线性、长舌形，部分呈假托勒利叶型。叶片中曾发现有树脂
在什么地方发现的乌马托鳞片属？,"模式种是发现于俄罗斯西伯利亚布列亚河（Bureya）盆地上侏罗统的瓦赫拉梅耶夫乌马托鳞片(""Umaltolepis vachrameevii"" Krassilov,1972"
丁谓字什么？,字谓之，后更字公言
丁谓是哪里人?,北宋时期苏州长州（今江苏苏州）人
丁谓擅长喜欢些什么？,善言谈，喜欢作诗，于图书、博奕、音律无一不精
何时丁谓担任了户部侍郎这个官职？,咸平五年（1012年）任户部侍郎
哪一年丁谓生病去世的？,景祐四年（1037年）病卒
《初恋的回忆》是哪一年的美国电影？,2002年
《初恋的回忆》改编自哪一本小说？,"《""""》"
Landon在一次乘搭Jamie的便车时，女主角说了一句“42”令Landon开始感到兴趣。并追问什么是第一，而女主角的回答是什么？,“I tell you then I have to kill you”
Carter是个怎样的人？,Carter是镇上的一个著名小混混，终日不学术，与一群猪朋狗友胡混
《初恋的回忆》曾经在全美票房排第几名？,第三
文礼阁位于哪里？,新界沙田区大围的一个私人屋苑，位处港铁东铁线南面和城门河东面
文礼阁的第一期在何时完成第一至三座？,1990年
哪年文礼阁第二期的第四座落成？,1993年
文礼阁共有几座住宅楼宇？,4座
文礼阁初期由哪个物业负责保安及物业管理工作？,高衞物业管理
《Over the Rainbow》是哪一年的电影音乐？,1939年
《Over the Rainbow》是哪部电影中的一首歌？,《绿野仙踪》
《Over the Rainbow》荣获当年的什么奖项？,当年的奥斯卡最佳歌曲奖
歌词表达了什么？,表达一名10多岁的小女孩渴望逃脱世界「绝望的混乱」，从雨点的悲伤中走向崭新的世界——「彩虹的彼端」
戏中主角桃乐丝（Dorothy Gale）是由谁扮演的？,茱蒂·嘉兰
无线电视剧集收视列表 (2000年代)这个列表列出了什么？,本列表是无线电视剧集收视列表的子列表，列出2000年代香港无线电视剧集的收视统计
无线电视剧集收视列表 (2000年代)的排名是根据什么列出的？,根据全剧平均收视及观众人数顺序列出
跨年度剧集在哪个年份列出？,跨年度剧集于播放大结局的年份列出
无线电视剧集收视列表 (2000年代)只列出什么剧集的收视？,无线电视于黄金时段首播的自制剧集之收视
无线电视剧集收视列表 (2000年代)不列出什么剧集的收视？,外购剧集、重播剧集、于非黄金时段首播的海外首发剧集及香港电台剧集均不会列出
记忆树是怎样快速在脑中留下印象的？,记忆树是利用关联性记忆法，有效的将大量的资料整理并且快速的在脑中留下印象
记忆树的特色是什么？,是会以一个主题当作是主干，与其相关联的资料会采上下半辐射状依序连结出，呈现出类似树状图的图像，故称为记忆树，属于心智图应用的一种
记忆树的主要原理是什么？,采放射性思考的笔记方式，与传统的笔记方式中条列重点的方式相异，是用图像式地从记忆主干向外展开的记录方式来写
人在记忆的时候左右脑分别在处理什么？,人在记忆的时候用左脑处理文字和语言、而右脑则是处理影像
为什么说记忆树方法不但容易记忆而且有助于思考？,记忆树的原理在于当单调的语言或是文字被我们的左脑所遗忘时，看到图像的右脑可以及时发挥功效，进而连结到左脑去唤起被遗忘的文字。整体关系是经过联想的，所以不但容易记忆，而且有助于思考
梅尔文·厄普顿出生于哪一年？,1984年8月21日出生
梅尔文·厄普顿出生于哪个地方？,美国维吉尼亚州的诺福克
梅尔文·厄普顿现在效力于哪个队？,美国联盟的亚特兰大勇士队
2009年10月2日B.J做了什么？,2009年10月2日于光芒队主场对战纽约洋基队的比赛中，B.J.以四个打数完成了完全打击，成为光芒队队史中第一个出现完全打击的选手
为什么厄普顿经常守得很浅？,因为他可以急速倒退并精准判断球向
科克大学是哪所大学的一部分？,爱尔兰国立大学
科克大学建于哪一年？,1845年
科克大学原名是什么？,"“皇后学院”（Queen's College, Cork）"
2003-2004科克大学被星期日泰晤士报选为什么？,2003-2004年度爱尔兰大学
1849年科克大学正式办学时有多少人？,有23位教授及181位学生
藏霞精舍位于哪里？,香港新界粉岭的黄岗山（现粉岭市中心）
藏霞精舍由谁创立？,朱翰亭先生
什么是藏霞精舍的宗旨？,苦练修行
藏霞精舍供奉的都是谁？,观音、吕洞宾、北帝、关羽、三清道祖、黄龙真人及孔子
藏霞精舍还与哪些道观有联系？,与广东省清远市的藏霞洞道观，佛山市的飞霞洞道观及南洋的先天道有紧密联系，交流互访
拜耳张力学说是谁提出来的？,阿道夫·冯·拜尔
拜耳张力学说是一个怎样的理论？,拜耳张力学说（Baeyer张力学说，或张力学说）是由阿道夫·冯·拜尔于1885年用以解释不同环烷烃的稳定性而提出的一个理论
拜耳张力学说所认为的是什么？,"所有环状化合物都具有环平面结构，由于键角（即多边形内角）与""sp""杂化轨道正常键角（109°28'）有差别，因此所有环系都存在角张力"
根据文章中的数据可以认定什么？,大环化合物与小环化合物一样，环系越偏出五元环，偏转角越大，张力越大
拜耳张力学说虽是错误的，但是有怎样的意义值得后人学习呢？,它所提出的当分子内键角偏离正常键角时会产生张力的现象，却是存在的
小行星8992}是什么？,小行星8992}，即宽容小行星（8992 Magnanimity），是太阳系的小行星之一
小行星8992}的公转轨道是什么？,公转轨道位于火星和木星之间
小行星8992被命名为宽容的意义是什么？,望世界人民能宽容的对待像九一一这样的恐怖袭击，并希望所有正义的力量都能不以复仇为目而抵抗恐怖主义
活性中间体是什么？,活性中间体（或中间体/活性中间物）是化学反应过程中产生的存在时间短，能量高，高反应性的分子．当反应产生时会快速的转变成更稳定的分子
在什么样的情况下才可以把活性中间体分离储存出来？,只有在特殊情况下才能将其分离出来并储存，比如低温
该如何观测活性中间体？,活性中间体通常难以分离，并且只能通过光谱手段观测
有些分步进行的合成路径涉及较稳定的中间体被用于什么反应？,此格式试剂再用于各种烷基化反应
分步进行的合成路径涉及较稳定的中间体有哪些？,有些分步进行的合成路径涉及较稳定的中间体，例如格氏试剂的制备，碳负离子、醚和与镁离子形成络合物，稳定了碳负离子中间体
图形计算器通常指什么？,图形计算器通常指一种能够绘画图象、解方程组以及执行其它各种操作的手持计算器，大多数图形计算器还能编写程序
为什么图形计算器能够同时显示多行文本？,由于它们的屏幕较一般计算器大，因此能够同时显示多行文本
图形计算器广泛被用于电子游戏上的原因是什么吗？,一些图形计算器甚至有彩色显示或三维作图功能。由于图形计算器可以编写程式，所以它也广泛被用于电子游戏上
1985年卡西欧制造了什么？,CASIO（卡西欧）在1985年制造了世界上第一台图形计算器 fx-7000G
自催化指的是什么？,自催化是指一个化学反应所生成之产物为该反应之催化剂
怎样才可以被称为集体自催化？,若一组化学反应中一部分反应的产物足以催化其他反应，使得整组化学反应可自我供应能量和『食物分子』，则此组反应可称作集体自催化（collectively autocatalytic）
若实验的反应物或产物浓度遵守双弯曲曲线则这个反应可能是什么？,若实验的反应物或产物浓度遵守双弯曲曲线，则此反应可能是自催化
何年提出生命最初起源形式是自催化化学网状系统？,1995年提出生命最初起源形式是自催化化学网状系统
英国 动物行为学家理察·道金斯在他2004年著作《祖先的故事》写了什么？,英国 动物行为学家理察·道金斯在他2004年著作《祖先的故事》写道自催化是无生源论的可能解释
《绝对冲激 ～柏拉图之心～》是哪个国家的作品？,日本
日本多家企业取用故事设定和角色做了什么？,各家公司取用故事设定和八宝备仁设计的角色，分别展开活动
目前有了哪些作品？,漫画、OVA等作品
预定由谁发售全5卷OVA？,松竹
什么时候起起在手机用官方网站开始提供？,2008年7月7日起
《欢迎来到东莫村》是哪国的电影？,韩国
《欢迎来到东莫村》的导演是谁？,朴光贤
《欢迎来到东莫村》在韩国有多少人观看？,超过800万人次
《欢迎来到东莫村》表达了怎样的思考？,反战的主题，和对朝鲜半岛和平统一的思考
什么事情打扰了村里的宁静？,安宁的村庄外来的客人们打破宁静，联合国军的史密斯驾驶的战机坠落于村子的附近、三名朝鲜人民军的士兵和军官，以及两名韩国国军的官兵先后来到村子里
太阳向点是什么？,太阳向点是太阳在星际空间中运动时按本地静止标准（LSR）所对著的方向
为什么不应与太阳通过黄道带星座的视运动混淆？,因为太阳通过黄道带星座的视运动是假想的运动，并不实际发生，而是由地球绕太阳公转产生的
太阳向点的大致方向是什么？,武仙座附近的织女一西南向
太阳向点的视觉坐标是什么？,阳向点可以选取多个坐标，视觉坐标（由视运动的目视观测获得）为赤经（RA），赤纬（dec）+30°（银道坐标：银经56.24°，银纬22.54°）
谁阐述了太阳运动的本性和范围？,威廉·赫歇尔
伦敦奥林匹克体育场位于哪里？,伊丽莎白女王奥运园
伦敦奥林匹克体育场的中文俗称是什么？,中文俗称“伦敦碗”
奥林匹克体育场是哪一年的夏季奥林匹克运动会的主场馆？,2012年
何年开始规划伦敦奥林匹克体育场？,2007年
为什么中文媒体广泛将奥林匹克体育场昵称为“伦敦碗”？,据一些资料解释此名称来源于体育场的主体结构如碗状
基隆拿国际机场位于哪里？,加拿大不列颠哥伦比亚省基隆拿市
基隆拿国际机场提供前往哪里的定期航班？,温哥华、西雅图、维多利亚、卡加里、爱民顿、乔治王子城和多伦多
基隆拿国际机场的2014年总旅客量达多少？,"1,602,899人次"
哪一年跑道延长至英尺并改以沥青铺设？,1960年
哪个机场是加拿大国内最繁忙的机场之一？,基隆拿国际机场
龙舌兰酒效应原意指原意指什么？,1994年墨西哥所爆发的金融危机
1994年墨西哥发生了什么？,严重的金融危机
「龙舌兰酒效应」这一名称是怎么得来的？,当1994年墨西哥爆发严重的金融危机时，媒体便用当地著名的代表物－龙舌兰酒（Tequila）－冠上名号，从此金融学家与媒体便普遍的将此次金融危机称做「龙舌兰酒效应」（Tequila Effect）
墨西哥金融危机的原因是什么?,金融债券不稳甚至大量倒债造成开发中国家整体市场的大波动
媒体为什么会有从此地区或国家取一代表物名并直接冠于其上的习惯？,当某一地区或国家产生严重金融震荡甚至是危机时，会对临近地区而至于全球造成影响，媒体为增加报导吸引力，于是会从此地区或国家取一代表物名并直接冠于其上
欧洲创新科技学院什么时候成立？,2008年4月29日成立
EIT打算成为怎样的大学旗舰？,成为在高等教育、研究和创新方面都优秀的研究型大学旗舰
欧洲理工学院总部设在哪里？,布达佩斯
将EIT设在布达佩斯代表了什么？,excellence in知识三角的旗舰
西捷航空是一家什么公司？,一家以加拿大卡加利市作总部的廉价航空公司，为加拿大第二大航空公司
西捷航空主要提供什么服务项目？,西捷航空提供客运、货运及包机服务
西捷航空的目的地有多少？,89个
目前西捷航是一家怎样的公司？,一家拥有7000多名员工及12亿美元市场资本值的公司
西捷航空是由谁创立的？,莱夫·贝铎（Clive Beddoe），马克·希尔（Mark Hill），提姆·摩根（Tim Morgan）和唐纳德·比尔（Donald Bell）
电磁波引发透明（，EIT）是一种什么现象？,电磁波引发透明（，EIT），一般是用两束光同时照射到原子介质（如大量原子组成的气体），使得其中一束光能够在与原子跃迁共振时通过原子介质而不产生吸收和反射的现象
观测 EIT 需要什么？,"两种相干光源（例如 激光)和介质（一般为原子气体，如Rb85,Rb87）的三种 量子态"
两种相干光源分别称为什么？,"""探测光""和""耦合光"
本多忠高是谁？,日本战国时代于三河国的武将
本多忠高父亲是谁？,本多忠丰
本多忠高什么时候出生的？,大永6年（1526年）（一说享禄元年（1528年））
天文18年（1549年）3月发生了什么令松平氏和三河国人众极之动摇？,主君广忠在冈崎城内被岩松八弥暗杀，令松平氏和三河国人众极之动摇
戒名是什么？,泰元院殿行誉忠高大居士
萨摩斯岛（）位于哪里？,北爱琴、希俄斯岛以南，帕特莫斯岛和多德卡尼斯以北，东临安纳托利亚海岸
萨摩斯岛上有多少人？,"33,814人"
萨摩斯岛最著名的建筑是什么？,赫拉古庙（The Heraion）
梅花泉在哪里？,章丘市明水百脉泉公园内，处于宋代著名女词人李清照故居中
梅花泉的名字是怎么来的？,这泓被清照园内亭台楼阁、绿柳垂杨环绕的清泉，恰有五处泉眼均匀分布在泉池的东北侧，正应了“梅花五出”，泉名即由此而来
泉池面积有多大？,泉池面积1800平方米
为什么梅花泉给游客的感觉仿佛身临画境？,泉水漫过锦江桥，汇入绣江河，游人站在桥上犹如立于水中，不时有泉风拂面，雨丝沾衣，加之清照园内浓郁的文化气息，只觉仿佛身临画境
梅花泉附近还有什么泉？,漱玉泉、百脉泉、墨泉等
日耳曼尼亚在哪里？,莱茵河以东、多瑙河以北，同时也包括被古罗马控制的莱茵河以西地区
日耳曼尼亚地区都分布哪些部落？,以日耳曼人为主，同时还包括凯尔特人、波罗的人、斯基泰人和古斯拉夫人
何时来自马西利亚的探险家毕提亚斯成为最早能够区别凯尔特人和日耳曼人的地中海人？,约公元前320年
毕提亚斯航行至哪里？,不列颠和北欧沿海
尤利乌斯·凯撒对日耳曼人、罗马人和高卢人之间的文化差异进行了怎样的描述？,高卢人虽然好战，但还算文明，而日耳曼人则是野蛮未开化的民族，对罗马人和高卢人是严重的威胁
蒂芙尼公司是一家什么公司？,美国一间钟表和珠宝和公司
哪一年蒂芙尼公司在纽约市成立,1837年
蒂芙尼开始叫做什么？,蒂芙尼和杨（Tiffany & Young）
何年查尔斯·蒂芙尼掌握了公司的控制权？,1853年
什么颜色是蒂芙尼的标志色？,蒂芙尼蓝（Tiffany Blue）
《神雕侠侣》是谁的武侠小说？,金庸
《神雕侠侣》一共多少集？,共32集
《神雕侠侣》监制是谁？,李添胜
杨过为何称称小龙女为「姑姑」？,因厌恶师父二字称谓，故称小龙女为「姑姑」
什么单位在2003年推出发行了《神雕侠侣》VCD影碟零售版本？,香港发行代理商现代音像(国际)有限公司
板棍球又称什么？,爱尔兰式曲棍球
板棍球是一种怎样的运动？,是一种使用前端为平板的球棍运球与击球的团队球类运动
板棍球比赛双方各上场多少人？,15名球员
比赛的目的是什么？,将球用板棍打击射门得分，比赛时间终了时，以得分多者为胜队
比赛场地是什么样的？,比赛场地与盖尔式足球一样，为长方形草地，两端线中央各有一个「H」形球门
卦限是什么术语？,卦限是笛卡儿坐标系中，象限在三维空间的对应术语
卦限是被用于哪里的？,用于空间解析几何的坐标系统
如何确定各轴线的正方向？,用右手定则规定各轴线的正方向
笛卡尔坐标系通常用的罗马数字是什么？,八个卦限在几何图中通常以罗马数字“I、II、III、IV、V、VI、VII、VIII”标示
坐标原点是如何确定的？,"先在指定空间内的任意一点取定并标记点 ""O""，作为坐标原点"
渤海武王是谁？,讳大武艺，是渤海国第二代君主
渤海武王在位是什么期间？,719年至737年
哪一年日本遣使向渤海答谢？,728年
733年，新罗士卒为何死者过半，无功而还？,于大雪
渤海武王在任期渤海国的疆域有多大？,东至绥芬河、及今俄罗斯沿海州、南至朝鲜半岛大同江、西至松花江流域
柏林勃兰登堡威利·布兰特机场位于哪里？,柏林附近勃兰登堡州的舍内费尔德
柏林勃兰登堡威利·布兰特机场预计什么时候启用？,2011年
何时当局机场确认会给予冠名，以纪念对柏林市有重要贡献之人士？,2007年
方案是谁牵头的？,由时任柏林市长克劳斯·沃维雷特（Klaus Wowereit）及勃兰登堡邦首长马蒂亚斯·普莱泽克（Matthias Platzeck）牵头
为什么最初机场预计将在2011年10月30日开张但是却没能实现？,最初机场预计将在2011年10月30日开张，然而由于腐败及行政、管理、建筑规划、消防不合格等种种问题一直向后延期
小行星8991是什么？,小行星8991，即团结小行星（8991 Solidarity），是太阳系的小行星之一
小行星8991的公转轨道在哪里？,火星和木星之间
小行星8991由谁发现？,欧洲南方天文台（ESO）下属的拉西拉天文台（La Silla）
小行星8990、小行星8991和小行星899分别被命名为什么？,同情（Compassion）、团结（Solidarity）和宽容（Magnanimity）
小行星8991被命名为团结（Solidarity）的原因是什么？,希望世界人民与九一一恐怖袭击中的罹难者和幸存者团结起来，以将恐怖主义从这个世界上消灭为目标
基础代谢率是什么？,指在自然温度环境中，恒温动物（比如人）的身体在非剧烈活动的状态下，处于消化状态（肠胃充满食物，分解作用大于合成作用），维持生命所需消耗的最低能量
维持生命所需消耗的最低能量主要用于什么？,保持各器官的机能，如呼吸（肺）、心跳（心脏）、腺体分泌（脑及其他神经系统）、过滤排泄（肾脏）、解毒（肝脏）、肌肉活动等等
文章中最先提出来的基础代谢率的测量需要在怎样严格的条件下进行的是什么？,受测者必须处于清醒且完全静止状态，同时其交感神经系统需要保持非激活状态。
基础代谢率的单位为什么？,“千焦/平方米/小时”
小行星8990又叫什么？,同情小行星（8990 Compassion）
小行星8990是什么？,是太阳系的小行星之一。
小行星8990的公转轨道是什么？,公转轨道位于火星和木星之间
国际天文联合会（IAU）下属的小天体命名委员会（Committee on Small Body Nomenclature）发布公告，将小行星8990、小行星8991和小行星8992分别命名为什么？,同情（Compassion）、团结（Solidarity）和宽容（Magnanimity）
行星8990被命名为同情（Compassion）的原因是什么？,希望世界人民同情九一一恐怖袭击中罹难者的朋友和家属，并希望罹难者的朋友和家属能克服悲伤和哀痛
尼古拉·巴通姆出生于哪里？,法国利雪
尼古拉·巴通姆是谁？,职业篮球运动员
在2007年耐克尖峰对抗赛上谁有着夺人眼球的表现？,2007年耐克尖峰对抗赛（Nike Hoop Summit）
Albert Schweitzer Tournament2米03的巴通姆最初在什么位置？,小前锋
巴图确定与黄蜂达成多少美金的续约协议？,5年1亿2000万美金
铁路节是怎样制定的节日？,中华民国为纪念铁路事业发展而订的节日
为何铁路节日期订于6月9日这一天？,系因中国第一条自建铁路唐胥铁路特地订于「铁路之父」乔治·史蒂芬生的生日1781年6月9日开工。
铁路什么时候传进中国？,清同治四年（1865年）
光绪二年（1876年）英国怡和洋行筑淞沪铁路为何拆毁？,英国怡和洋行筑淞沪铁路，地方人士反对，由政府出资拆毁。
尼古拉·莱罗塔列是谁？,一名意大利足球运动员
哪一年他加盟意乙俱乐部切沃，随后陆续以租借身份效力于一些低级别的俱乐部？,1998年
尼古拉·莱罗塔列目前效力于哪里？,卡塔尼亚
意甲卡塔尼亚俱乐部宣布老将莱罗塔列自由加盟双方签约何时到期？,2013年
杰里德·贝勒斯生于哪里?,亚利桑那州凤凰城
作为一年级新人的贝勒斯得到了怎样的成绩？,球队最高的场均19.7分、2.7个篮板和4.0次助攻
2010年11月20日，贝勒斯被交易到了多伦多猛龙以及斯托贾科维奇和一些钱，换来了谁？,杰瑞特·杰克、马库斯·班克斯和大卫·安德森
在什么时候波特兰开拓者队在与印第安纳步行者队的5人大交换后得到了贝勒斯？,2008年NBA选秀中
《江湖三女侠》（共三册）是谁的书？,梁羽生
《江湖三女侠》（共三册）是梁羽生什么时期的作品？,《江湖三女侠》（共三册）是梁羽生于1957年4月8日至1958年12月10日于《大公报》「小说林」连载成书
《江湖三女侠》是哪部小说的续篇？,为「天山系列‧七剑下天山」续篇
除了易兰珠外，其他有关「七剑」者多为谁？,多为子弟及徒弟，如唐晓澜、冯瑛、冒广生、李治、桂华生等
本篇在天山系列中是怎样体现情感的？,本篇在天山系列中，篇幅较长，情节波澜不惊，刻画人物不少，以小说的形式体现了江湖豪侠和清廷的恩怨
布龙齐诺 Bronzino全名是什么？,"阿纽洛·迪·科西莫""Agnolo di Cosimo""，也称尼奥洛·布龙齐诺"
布龙齐诺 Bronzino是什么风格主义画家？,意大利佛罗伦萨的风格主义画家
布龙齐诺这个昵称有啥来历？,布龙齐诺这个昵称的来历已不可考，但是应该和他黝黑的肤色或者他常用的肖像画主题有关。
蓬托莫曾把年幼的布龙齐诺画入他的哪一个系列的作品中？,"""旧约圣经中的约瑟""（Joseph (Hebrew Bible)|Joseph in Egypt） 肖像画作品中，这些作品现今珍藏在伦敦国家美术馆 "
布龙齐诺是谁的学徒？,蓬托莫
沈云山是哪里的山丘？,香港九龙东部
沈云山有多高？,高177米
沈云山俗称什么？,「水塘山」
哪里是区内的晨运热点?,配水库平台上建有由康乐及文化事务署管理的观塘上配水库花园
闸门之上则刻有什么？,金属字「HKWW 1965」
红点镜部分型号又称为什么？,反射式瞄准镜（reflex sight），亦作内红点
红点镜（red dot sight）是一种怎样的光学瞄具？,是一种无放大率的光学瞄具，有光亮的瞄准点（通常为一红点）
有哪些物品会载有红点镜？,一些望远镜及内置取景器的「傻瓜相机」亦会载有红点镜
特殊光线除了可由发光二极管生成外还可以由谁提供？,自然光或极低放射性的放射物（半永久有效）提供
红点镜与激光瞄准器不同在哪里？,激光指示器是一种能将一激光红点投射于目标上的器材，而红点镜则把特殊光线由镀膜镜片（析光镜）点状反射进射手眼睛；所以目标无法发现自己身上有光点
《失去城堡的人》改编自什么小说?,日本已故著名推理创作剧作家野泽尚同名小说
《失去城堡的人》的导演是谁？,鹤桥康夫
《失去城堡的人》是怎样的一部单元剧？,作为朝日电视台45周年纪念的特别单元剧
女子高中生·古谷芽衣子自杀之前发生了什么？,曾被首都电视很受欢迎的新闻节目特集中报道她参与少女卖淫
这档新闻节目特集的主持人长坂文雄（役所广司）是怎样编制了特集？,这档新闻节目特集的主持人长坂文雄（役所广司）起初对这个女子高中生卖淫的特集并不起劲，是被担任了规划的同节目女性导演逢泽瑶子（铃木京香）热情吹动而编制的特集
莫德惠字什么？,字柳枕
